id;nome;email;telefone
1;provided gah;Silas.Xavier16@hotmail.com;impassioned bore unless
2;bitterly outside;MariaCecilia20@live.com;oh arrogantly
3;decriminalize tuba;Norberto.Moreira14@live.com;patiently
4;rigidly athwart;Ofelia.Reis@gmail.com;immediately searchingly opposite
5;svelte precious castanet;Antonella_Saraiva@bol.com.br;atomize pip calculus
6;overheard less;JulioCesar.Martins@live.com;ha
7;moist suddenly;Antonella.Melo32@gmail.com;pish
8;roughly section;Morgana_Braga@gmail.com;scruple advocate railway
9;throughout throughout notarize;Caua9@live.com;uncomfortable blah knavishly
10;aboard pacemaker;Valentina.Barros@bol.com.br;boohoo now intermix
